"Dấu thời gian","Bạn hiện đang là học sinh lớp mấy?","Bạn đến từ miền nào? (Bao gồm các khu vực hải đảo tương ứng)","Bạn giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Bạn không giỏi những môn nào trong những môn bạn dự tính thi THPTQG?","Điểm trung bình trong lớp của bạn như thế nào ở học kỳ gần nhất?","Bạn dự định sẽ thi những tổ hợp nào? 
(Nếu chưa quyết định, em hãy điền tổ hợp mà em đang có xu hướng chọn cao nhất nhé.)","Bạn dự đoán điểm tổ hợp của bạn sẽ trong khoảng nào?","Mục đích bạn thi THPTQG là gì?","Giả sử bạn vừa biết điểm thi tốt nghiệp THPTQG, bạn muốn biết điều gì về kết quả của mình?","Ngoài những mong muốn trên, bạn còn khao khát điều gì khác khi cầm tờ kết quả trên tay? (Ví dụ: Muốn biết mình có thuộc Top 100 của tỉnh không, hay muốn so sánh điểm với bạn bè một cách ẩn danh...)  "
"2026/04/02 7:36:39 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Toán (Đại số / Giải tích)","[8.0 - 9.0)","A01","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:37:21 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Ngữ văn","Khác (Cha mẹ, thầy cô,...)","D010","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:38:03 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Ngữ văn","[7.0 - 8.0)","D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:39:14 CH GMT+7","Lớp 11","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Hóa học","Tiếng Anh","[7.0 - 8.0)","D07","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:39:55 CH GMT+7","Cha mẹ","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","Hóa học","Khác (Cha mẹ, thầy cô,...)","A00","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:40:43 CH GMT+7","Thầy cô","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học","Vật lý","Khác (Cha mẹ, thầy cô,...)","A01","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:41:44 CH GMT+7","Lớp 11","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Tiếng Anh","[8.0 - 9.0)","D00","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:42:23 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Tiếng Anh","[8.0 - 9.0)","A01","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:43:05 CH GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh","Tiếng Anh","Khác (Cha mẹ, thầy cô,...)","D00","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:44:03 CH GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Toán (Đại số / Giải tích);Toán (Hình học);Sinh học;Lịch sử","Toán (Đại số / Giải tích)","[7.0 - 8.0)","B01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:44:55 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Sinh học;Lịch sử","Sinh học","[7.0 - 8.0)","B01","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/02 7:55:42 CH GMT+7","Lớp 10","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Địa lý","Toán (Hình học);Tiếng Anh;Tin học","[7.0 - 8.0)","toán anh địa","Khác","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","khoe mọi người"
"2026/04/02 8:24:17 CH GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích)","Ngữ văn","Khác (Cha mẹ, thầy cô,...)","A01","Khác","Khác","Xác suất ""an toàn""","Không"
"2026/04/02 8:26:06 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;GDKT&PL (Hoặc GDCD)","Toán (Hình học);Vật lý;Hóa học","[6.0 - 7.0)","Toán Văn Anh","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Điểm Văn cao xíu cỡ 8.0"
"2026/04/02 8:31:06 CH GMT+7","Cha mẹ","Miền Trung (bao gồm Bắc Trung Bộ, Duyên hải Nam Trung Bộ, và Tây Nguyên)","Toán (Đại số / Giải tích)","Toán (Hình học)","Khác (Cha mẹ, thầy cô,...)","A01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Không"
"2026/04/02 9:08:10 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn","Toán (Hình học);Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","KHỐI D00","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","không"
"2026/04/02 9:10:29 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Vật lý","Toán (Đại số / Giải tích)","[8.0 - 9.0)","Toán Lý Anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Dạ em không có ý kiến."
"2026/04/02 9:15:56 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học);Hóa học;Sinh học","Toán (Đại số / Giải tích)","[8.0 - 9.0)","B00-Toán Hóa Sinh","[27 - 30]","Đủ điều kiện xét học bạ / ĐGNL","Vị thế tương đối",""
"2026/04/02 9:41:19 CH GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Địa lý;GDKT&PL (Hoặc GDCD)","[9.0 - 10.0]","A01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 9:49:39 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học)","Tiếng Anh","[9.0 - 10.0]",".","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối","."
"2026/04/02 9:49:56 CH GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học);Hóa học","Toán (Hình học);Vật lý","Khác (Cha mẹ, thầy cô,...)","A00","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","khong"
"2026/04/02 10:01:49 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Toán (Hình học)","Mình đang là học sinh lớp 10 nên chưa biết","A01","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn"";Thứ hạng ước tính;So sánh tổ hợp","mình muốn mình có thể đạt được kết quả cao hơn so với kì vọng, nếu có thể thì đó là đạt top 10 của Thành Phố Hồ Chí Minh."
"2026/04/02 10:02:02 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;Địa lý","Toán (Hình học);Tiếng Anh;Vật lý","[7.0 - 8.0)","khối C","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm;So sánh tổ hợp","thi tốt là được"
"2026/04/02 10:16:04 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ nông nghiệp;","Lịch sử;Địa lý","[8.0 - 9.0)","Toán ","[21 - 24)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
"2026/04/02 10:25:49 CH GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Sinh học","Vật lý;Hóa học","[9.0 - 10.0]","D01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm",""
"2026/04/02 10:30:55 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học)","Hóa học","[8.0 - 9.0)","Toán Lý Hoá","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 10:31:31 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học","Ngữ văn","Mình đang là học sinh lớp 10 nên chưa biết","A01","[27 - 30]","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""",""
"2026/04/02 10:35:29 CH GMT+7","Thí sinh tự do","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Hóa học;Sinh học;Lịch sử","[8.0 - 9.0)","toán lý anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 10:35:31 CH GMT+7","Lớp 12","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Tiếng Anh;Hóa học","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn","[9.0 - 10.0]","D07","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Không"
"2026/04/02 10:44:42 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Lịch sử","Toán (Đại số / Giải tích);Hóa học;Sinh học","[9.0 - 10.0]","Văn, Sử, Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm;So sánh tổ hợp","Mình mong muốn điểm của mình có thể xét tuyển vào trường đại học mình muốn học nhất"
"2026/04/02 10:45:29 CH GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Sinh học","[9.0 - 10.0]","Toán, Hóa, Sinh","[24 - 27)","Chỉ để xét tốt nghiệp THPT / Thi cho có","Xác suất ""an toàn""",""
"2026/04/02 10:46:31 CH GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Tiếng Anh;Lịch sử","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý;Hóa học;Sinh học;GDKT&PL (Hoặc GDCD)","[9.0 - 10.0]","Văn, Sử, Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm;So sánh tổ hợp","Mình mong muốn đó là khi cầm kết quả của mình sẽ đậu vào trường mà mình mơ ước được bước vào để có thể bước tiếp và định hướng nghề nghiệp cho tương lai"
"2026/04/02 10:48:35 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý","Ngữ văn;Hóa học;Sinh học;Tin học","[8.0 - 9.0)","A01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","chỉ muốn biết mình có đậu được hay không"
"2026/04/02 11:40:20 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích)","[8.0 - 9.0)","C00","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""",""
"2026/04/02 11:40:28 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Sinh học","Ngữ văn;Tiếng Anh","[8.0 - 9.0)","Tự nhiên","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/02 11:42:42 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học;Sinh học","Khác (Cha mẹ, thầy cô,...)","D","[27 - 30]","Lấy điểm để đi du học hoặc xét tuyển riêng.","Thứ hạng ước tính",""
"2026/04/03 12:10:24 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Vật lý","Tiếng Anh;Vật lý","[8.0 - 9.0)","Toán văn anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 6:06:27 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Tiếng Anh;Vật lý","Toán (Hình học);Tiếng Anh;Vật lý","[8.0 - 9.0)","A00 và A01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","sẽ có "
"2026/04/03 6:55:25 SA GMT+7","Lớp 10","Miền Bắc (bao gồm Trung du và miền núi Bắc Bộ, và Đồng bằng sông Hồng)","Ngữ văn;Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học;Sinh học;Địa lý;Tin học;Công nghệ công nghiệp","Mình đang là học sinh lớp 10 nên chưa biết","Khối D","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/03 8:40:03 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Hóa học;Sinh học","Toán (Hình học);Ngữ văn","[8.0 - 9.0)","Toán, Hía , Sinh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","Muốn biết điểm số có khả năng đậu vào đại học mình mong muốn không và so sánh để biết năng lực mình ở mức độ nào."
"2026/04/03 8:40:27 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Tiếng Anh;Hóa học;Sinh học;Tin học","Địa lý","[8.0 - 9.0)","Tự nhiên","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính","Muốn biết kết quả xứng đáng với công sức rèn luyện học tập của mình không ."
"2026/04/03 9:55:35 SA GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học","Sinh học;Lịch sử;Địa lý","[8.0 - 9.0)","A00","[24 - 27)","Chỉ để xét tốt nghiệp THPT / Thi cho có","Xác suất ""an toàn""",""
"2026/04/03 10:17:06 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;","Tiếng Anh;Vật lý","Mình đang là học sinh lớp 10 nên chưa biết","M03","[24 - 27)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","Chỉ muốn đậu đại học và không có mong muốn nào khác "
"2026/04/03 10:21:11 SA GMT+7","Lớp 12","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Vật lý;Hóa học","Hóa học","[8.0 - 9.0)","A00","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/03 10:34:14 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Toán (Hình học)","[8.0 - 9.0)","D01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 11:03:59 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Sinh học;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[7.0 - 8.0)","C00 và H00","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/03 11:03:59 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Hình học);Tiếng Anh;Tin học","Toán (Đại số / Giải tích);Vật lý;Hóa học","[8.0 - 9.0)","A00, A01, A0T","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Phân tích phổ điểm;So sánh tổ hợp","Muốn biết có danh sách lớp hay chưa:))"
"2026/04/03 11:10:57 SA GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Hóa học","Toán (Đại số / Giải tích);Toán (Hình học)","[8.0 - 9.0)","Toán Hoá Anh","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Đậu trường top"
"2026/04/03 11:14:06 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","địa anh ","[21 - 24)","Đủ điều kiện xét học bạ / ĐGNL","Xác suất ""an toàn""","Mình muốn đậu Đại học Ngoại Thương "
"2026/04/03 11:14:51 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Lịch sử;Địa lý","Tiếng Anh","[8.0 - 9.0)","Toán Địa Năng Khiếu TDTT","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Phân tích phổ điểm","không có"
"2026/04/03 11:20:27 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Địa lý","Toán (Đại số / Giải tích);Toán (Hình học)","[6.0 - 7.0)","văn,sử,địa","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""","không"
"2026/04/03 11:20:56 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp;","[8.0 - 9.0)","A01 và D01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Phân tích phổ điểm","em chỉ muốn đậu thôi k cần top gì hết"
"2026/04/03 11:22:32 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh","Toán (Đại số / Giải tích);Toán (Hình học);Ngữ văn;Vật lý;Hóa học;Sinh học;Lịch sử;Địa lý;GDKT&PL (Hoặc GDCD);Tin học;Công nghệ công nghiệp;Công nghệ nông nghiệp;","[8.0 - 9.0)","D01 và A01","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";So sánh tổ hợp","em chỉ muốn đậu đại học"
"2026/04/03 11:27:14 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Công nghệ công nghiệp","Toán (Hình học)","Mình đang là học sinh lớp 10 nên chưa biết","A00","[18 - 21)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 11:30:13 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Tin học","Tiếng Anh","Mình đang là học sinh lớp 10 nên chưa biết","A00","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối",""
"2026/04/03 11:33:07 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Ngữ văn;Lịch sử;GDKT&PL (Hoặc GDCD)","Toán (Đại số / Giải tích);Toán (Hình học);Hóa học","[8.0 - 9.0)","D01 - C03","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/03 11:34:51 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Tiếng Anh;Lịch sử","Tiếng Anh;Lịch sử","[8.0 - 9.0)","Anh Lý Sử","[27 - 30]","Xét tuyển bằng điểm thi THPTQG","Vị thế tương đối;Xác suất ""an toàn"";Thứ hạng ước tính;Phân tích phổ điểm;So sánh tổ hợp","Muốn biết mình có đậu không là được rồi "
"2026/04/03 11:46:26 SA GMT+7","Cha mẹ","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Công nghệ công nghiệp","Công nghệ nông nghiệp","Khác (Cha mẹ, thầy cô,...)","Dự học ","Khác","Khác","Thứ hạng ước tính",""
"2026/04/03 11:53:22 SA GMT+7","Lớp 11","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh;Vật lý","Toán (Đại số / Giải tích);Toán (Hình học);Vật lý","[8.0 - 9.0)","Tổ hợp toán văn anh","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";Phân tích phổ điểm;So sánh tổ hợp",""
"2026/04/03 11:53:47 SA GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh;Lịch sử","Toán (Đại số / Giải tích);Tiếng Anh","[8.0 - 9.0)","C03 D01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 12:22:34 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Vật lý;Hóa học;Sinh học","Mình đang là học sinh lớp 10 nên chưa biết","A01","[21 - 24)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn"";",""
"2026/04/03 12:23:14 CH GMT+7","Lớp 10","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Ngữ văn;Tiếng Anh","Toán (Hình học);Ngữ văn;Tiếng Anh","[6.0 - 7.0)","A01","[24 - 27)","Xét tuyển bằng điểm thi THPTQG","Xác suất ""an toàn""",""
"2026/04/03 12:45:18 CH GMT+7","Cựu học sinh / sinh viên (Đã tốt nghiệp THPT)","Miền Nam (bao gồm Đông Nam Bộ và Đồng bằng sông Cửu Long)","Toán (Đại số / Giải tích);Toán (Hình học);Tiếng Anh;Vật lý;Hóa học","Ngữ văn;Lịch sử;Địa lý","[8.0 - 9.0)","A00","[24 - 27)","Lấy điểm để đi du học hoặc xét tuyển riêng.","Xác suất ""an toàn""",""
